30b12ff5c38e86cd15ab11073189848ee3a4ad5d,taskName,taskNumber,taskURL,name,response,serial,declined,submitLatency,log_serial,trial_id,responseHandle,latency,stimuli,media,data,block3Cond,feedback,d
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,namelessTask,1,,,,,,,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,2,quest.js,,,,,,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,,,item8,NaN,0,,184.0999999642372,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,,,item9,NaN,1,,1150.6000000238419,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,,,item6,NaN,2,,154.80000001192093,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,,,item1,NaN,4,,157.89999997615814,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,,,item3,NaN,5,,152.10000002384186,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,,,item7,NaN,6,,151.4000000357628,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-quest,,,item10,NaN,7,,160.19999998807907,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,3,time.js,,,,,,,,,,,,,,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,0,0,space,1046,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,1,2,space,441,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,2,4,space,146,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,3,6,space,264,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,4,8,space,173,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,5,10,space,162,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,6,12,space,175,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,instructions,,,,,7,14,space,289,"[""Default""]","[""Press space to continue to the next task""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,my-time,,,,,,,,,,,,,,,"Middle people/Bad words,Poor people/Good words",There were not enough trials to determine a result.,
30b12ff5c38e86cd15ab11073189848ee3a4ad5d,namelessTask,4,,,,,,,,,,,,,,,,
